time,ARS,AUD,BRL,CAD,CHF,CNY,COP,EUR,GBP,HKD,IDR,INR,JPY,KWD,MXN,MYR,NZD,PEN,PHP,RUR,SEK,SGD,TRY,USD,VUV,ZAR,gldslv,gldplt,gldpld,date
00:00,8370.64,1627.48,3339.26,1672.65,1528.24,10474.51,3006580,1242.94,1072.00,13020.85,16305031,89204.31,156914,472.69,21303.7,5203.50,2007.48,4327.13,68428.7,68428.7,10687.43,2080.02,2972.85,1679.20,150534,14967.71,52.76858,0.96845,2.20426,2013-02-07
00:02,8368.65,1627.09,3338.46,1672.25,1527.87,10472.02,3005864,1242.65,1071.74,13017.75,16301147,89183.06,156877,472.58,21298.6,5202.26,2007.00,4326.10,68412.4,68412.4,10684.89,2079.53,2972.15,1678.80,150498,14964.15,52.77148,0.96800,2.20373,2013-02-07
00:04,8369.31,1627.19,3338.49,1672.18,1527.80,10471.46,3006079,1242.55,1071.81,13018.69,16302119,89178.30,156907,472.78,21292.5,5202.74,2007.29,4326.36,68444.2,68444.2,10680.99,2079.65,2972.49,1678.90,150506,14965.38,52.77463,0.96789,2.20386,2013-02-07
00:06,8369.31,1627.19,3338.49,1672.18,1527.80,10471.46,3006079,1242.55,1071.81,13018.69,16302119,89178.30,156907,472.78,21292.5,5202.74,2007.29,4326.36,68444.2,68444.2,10680.99,2079.65,2972.49,1678.90,150506,14965.38,52.80044,0.96789,2.20386,2013-02-07
00:08,8367.97,1627.12,3338.19,1672.45,1527.89,10472.59,3004579,1242.46,1071.87,13019.47,16296374,89197.38,156986,472.47,21300.5,5200.87,2007.24,4324.94,68418.2,68418.2,10681.46,2079.77,2972.33,1679.00,149842,14969.80,52.80358,0.96795,2.20457,2013-02-07
00:10,8367.97,1627.12,3338.19,1672.45,1527.89,10472.59,3004579,1242.46,1071.87,13019.47,16296374,89197.38,156986,472.47,21300.5,5200.87,2007.24,4324.94,68418.2,68418.2,10681.46,2079.77,2972.33,1679.00,149842,14969.80,52.78293,0.96845,2.20457,2013-02-07
00:12,8370.14,1627.22,3338.72,1672.72,1528.15,10474.39,3006389,1242.36,1071.93,13020.08,16295668,89188.25,156985,472.83,21303.1,5201.68,2007.36,4326.87,68456.6,68456.6,10681.76,2079.90,2972.51,1679.10,150524,14969.51,52.79640,0.96851,2.20470,2013-02-07
00:14,8370.14,1627.22,3338.72,1672.72,1528.15,10474.39,3006389,1242.36,1071.93,13020.08,16295668,89188.25,156985,472.83,21303.1,5201.68,2007.36,4326.87,68456.6,68456.6,10681.76,2079.90,2972.51,1679.10,150524,14969.51,52.78091,0.96851,2.20470,2013-02-07
00:16,8370.14,1627.38,3338.72,1672.88,1527.98,10475.06,3006445,1242.53,1071.93,13020.25,16295665,89178.17,156924,472.66,21303.2,5201.68,2007.53,4326.87,68439.8,68439.8,10681.93,2079.90,2972.34,1679.10,150525,14970.35,52.78091,0.96795,2.20470,2013-02-07
00:18,8371.14,1627.58,3339.12,1673.08,1528.16,10476.31,3006803,1242.68,1072.06,13021.79,16297606,89188.80,156943,472.72,21305.8,5202.30,2007.77,4327.39,68447.9,68447.9,10683.20,2080.15,2972.70,1679.30,150543,14972.13,52.78720,0.96840,2.20699,2013-02-07
00:20,8371.14,1627.41,3339.12,1673.08,1528.16,10476.65,3006759,1242.51,1072.06,13021.79,16297606,89198.37,156980,472.89,21305.6,5202.30,2008.11,4327.39,68447.8,68447.8,10682.03,2079.98,2972.36,1679.30,150544,14971.29,52.78720,0.96840,2.20699,2013-02-07
00:22,8372.64,1627.70,3339.71,1673.38,1528.43,10478.52,3007296,1242.73,1072.26,13024.12,16300518,89214.30,157009,472.98,21309.4,5203.23,2008.46,4328.16,68460.0,68460.0,10683.94,2080.35,2972.89,1679.60,150571,14973.97,52.77083,0.96852,2.20739,2013-02-07
00:24,8372.64,1627.03,3340.05,1673.21,1528.43,10478.35,3007289,1242.73,1072.09,13024.12,16300518,89214.30,156984,472.81,21309.4,5203.23,2007.62,4328.16,68460.3,68460.3,10683.60,2080.35,2972.89,1679.60,150570,14975.82,52.77083,0.96852,2.20739,2013-02-07
00:26,8372.14,1626.93,3339.85,1673.12,1528.34,10477.73,3007110,1242.66,1072.02,13023.35,16299547,89208.99,156975,472.78,21308.2,5202.92,2007.51,4327.90,68456.3,68456.3,10682.96,2080.23,2972.71,1679.50,150561,14974.92,52.77801,0.96801,2.20725,2013-02-07
00:28,8372.14,1626.93,3339.51,1673.12,1528.34,10477.39,3007117,1242.66,1072.02,13023.35,16299547,89206.81,156946,472.95,21308.2,5203.26,2007.67,4327.90,68455.9,68455.9,10683.47,2080.06,2972.71,1679.50,150560,14974.25,52.77801,0.96818,2.20725,2013-02-07
00:30,8372.64,1627.19,3340.05,1673.21,1528.43,10478.01,3007287,1242.73,1072.09,13024.12,16300518,89215.98,156994,472.98,21309.8,5203.40,2007.96,4328.16,68476.1,68476.1,10683.94,2080.18,2972.89,1679.60,150570,14974.64,52.77083,0.96779,2.20739,2013-02-07
00:32,8375.63,1627.78,3341.24,1673.81,1528.98,10481.76,3008361,1243.18,1072.47,13028.77,16306341,89247.85,157050,473.14,21317.4,5205.26,2008.68,4329.71,68500.6,68500.6,10687.75,2080.93,2973.95,1680.20,150623,14979.99,52.78968,0.96797,2.20876,2013-02-07
00:34,8375.13,1627.34,3341.05,1673.55,1528.89,10481.13,3008182,1243.10,1072.41,13028.00,16305370,89288.24,157038,472.95,21314.9,5204.78,2008.22,4329.45,68497.5,68497.5,10686.95,2080.80,2973.61,1680.10,150614,14983.30,52.79686,0.96786,2.20863,2013-02-07
00:36,8376.62,1627.63,3341.64,1673.85,1529.16,10483.01,3008720,1243.33,1072.60,13030.32,16308282,89304.18,157066,473.03,21318.7,5205.71,2008.58,4330.22,68509.7,68509.7,10688.86,2081.17,2974.14,1680.40,150641,14985.97,52.80629,0.96803,2.20902,2013-02-07
00:38,8375.13,1627.34,3341.05,1673.55,1528.89,10481.13,3008182,1243.10,1072.41,13028.00,16305370,89288.24,157038,472.95,21314.9,5204.78,2008.22,4329.45,68497.5,68497.5,10686.95,2080.80,2973.61,1680.10,150614,14983.30,52.81235,0.96797,2.20863,2013-02-07
00:40,8375.63,1627.44,3341.24,1673.65,1528.98,10481.76,3008361,1243.18,1072.47,13028.77,16306341,89293.56,157047,472.98,21316.2,5205.09,2008.34,4329.71,68501.6,68501.6,10687.58,2080.93,2973.78,1680.20,150623,14984.19,52.81549,0.96791,2.20876,2013-02-07
00:42,8375.13,1626.67,3340.37,1673.55,1528.89,10481.47,3008184,1242.94,1072.58,13028.00,16305370,89358.47,157034,472.78,21314.9,5204.78,2007.21,4329.45,68480.7,68480.7,10686.78,2080.80,2971.93,1680.10,150614,14983.63,52.81235,0.96780,2.20863,2013-02-07
00:44,8375.13,1626.67,3340.37,1673.55,1528.89,10481.47,3008184,1242.94,1072.58,13028.00,16305370,89358.47,157034,472.78,21314.9,5204.78,2007.21,4329.45,68480.7,68480.7,10686.78,2080.80,2971.93,1680.10,150614,14983.63,52.81235,0.96780,2.20863,2013-02-07
00:46,8374.63,1626.24,3340.34,1673.45,1529.13,10480.51,3008055,1242.86,1072.34,13027.22,16304400,89390.11,157012,473.09,21314.0,5204.47,2006.59,4329.19,68476.3,68476.3,10685.64,2080.68,2973.93,1680.00,150607,14978.71,52.80920,0.96774,2.20850,2013-02-07
00:48,8375.13,1626.34,3340.54,1673.55,1529.22,10481.13,3008234,1242.94,1072.41,13028.00,16305370,89395.43,157021,473.11,21315.3,5204.78,2006.71,4329.45,68480.4,68480.4,10686.27,2080.80,2974.11,1680.10,150616,14979.60,52.81235,0.96780,2.20863,2013-02-07
00:50,8377.62,1627.16,3342.04,1674.21,1530.02,10484.25,3009121,1243.31,1072.72,13031.87,16310223,89390.94,157085,473.09,21321.6,5206.33,2007.31,4330.74,68501.1,68501.1,10689.12,2081.42,2975.17,1680.60,150659,14979.35,52.81257,0.96803,2.20929,2013-02-07
00:52,8377.62,1627.16,3342.04,1674.21,1530.02,10484.25,3009121,1243.31,1072.72,13031.87,16310223,89390.94,157085,473.09,21321.6,5206.33,2007.31,4330.74,68501.1,68501.1,10689.12,2081.42,2975.17,1680.60,150659,14979.35,52.80225,0.96803,2.20755,2013-02-07
00:54,8378.62,1627.01,3342.44,1674.24,1530.20,10485.84,3009479,1242.95,1072.85,13033.43,16312164,89400.07,157148,472.98,21324.0,5206.95,2007.21,4331.25,68458.8,68458.8,10686.86,2081.33,2975.52,1680.80,150677,14980.80,52.80854,0.96815,2.20781,2013-02-07
00:56,8378.62,1627.18,3341.76,1674.24,1530.03,10485.67,3009436,1242.78,1072.68,13033.43,16312164,89382.76,157152,473.31,21323.5,5206.95,2007.21,4331.25,68446.2,68446.2,10684.68,2081.16,2975.52,1680.80,150677,14980.97,52.78275,0.96820,2.20607,2013-02-07
00:58,8377.12,1626.89,3341.17,1673.95,1529.76,10483.80,3008899,1242.56,1072.49,13031.10,16309252,89366.81,157124,473.23,21319.7,5206.02,2006.85,4330.48,68434.0,68434.0,10682.77,2080.79,2974.99,1680.50,150650,14978.30,52.78879,0.96803,2.20567,2013-02-07
01:00,8376.62,1626.46,3341.14,1673.85,1529.83,10483.01,3008722,1242.32,1072.43,13030.32,16308282,89347.04,157142,473.20,21318.9,5205.88,2006.56,4330.22,68368.4,68368.4,10682.13,2080.50,2974.81,1680.40,150641,14968.83,52.79597,0.96803,2.20409,2013-02-07
01:02,8376.62,1626.46,3341.14,1673.85,1529.83,10483.01,3008722,1242.32,1072.43,13030.32,16308282,89347.04,157142,473.20,21318.9,5205.88,2006.56,4330.22,68368.4,68368.4,10682.13,2080.50,2974.81,1680.40,150641,14968.83,52.78049,0.96786,2.20409,2013-02-07
01:04,8376.13,1626.53,3341.44,1673.91,1529.41,10482.55,3008541,1241.91,1072.20,13029.38,16307311,89349.78,157204,473.17,21315.3,5205.57,2006.61,4329.96,68370.6,68370.6,10679.65,2080.55,2974.13,1680.30,150634,14956.18,52.78251,0.96775,2.20396,2013-02-07
01:06,8376.62,1626.62,3341.64,1674.01,1529.50,10483.17,3008720,1241.98,1072.26,13030.15,16308282,89355.10,157214,473.20,21316.5,5205.88,2006.73,4330.22,68374.6,68374.6,10680.28,2080.67,2974.31,1680.40,150643,14957.07,52.78565,0.96764,2.20409,2013-02-07
01:08,8376.13,1626.86,3340.77,1673.75,1529.91,10482.72,3008542,1242.08,1072.20,13029.55,16307311,89311.98,157321,473.17,21314.9,5205.40,2006.95,4329.96,68371.2,68371.2,10679.99,2080.55,2974.13,1680.30,150632,14965.42,52.79283,0.96758,2.20396,2013-02-07
01:10,8377.12,1627.73,3341.34,1674.11,1529.93,10483.80,3008900,1242.22,1072.33,13030.93,16309252,89303.62,157307,473.23,21314.8,5206.02,2008.70,4330.48,68379.4,68379.4,10681.59,2080.96,2974.48,1680.50,150650,14970.23,52.79911,0.96781,2.20423,2013-02-07
01:12,8378.62,1628.02,3341.93,1674.41,1530.20,10485.67,3009437,1242.45,1072.52,13033.26,16312164,89319.56,157335,473.31,21318.6,5206.95,2009.06,4331.25,68391.6,68391.6,10683.50,2081.33,2975.01,1680.80,150677,14972.90,52.76728,0.96798,2.20462,2013-02-07
01:14,8377.12,1627.23,3341.84,1673.95,1529.93,10481.45,3008907,1241.89,1072.33,13031.10,16309252,89307.82,157281,472.89,21311.3,5206.02,2008.03,4330.48,68379.4,68379.4,10683.10,2081.47,2973.98,1680.50,150650,14966.20,52.78364,0.96781,2.20423,2013-02-07
01:16,8376.62,1627.13,3341.64,1673.85,1529.83,10480.82,3008728,1241.81,1072.26,13030.32,16308282,89302.50,157272,472.86,21310.0,5205.71,2007.91,4330.22,68375.3,68375.3,10682.47,2081.34,2973.80,1680.40,150641,14965.30,52.79597,0.96764,2.20409,2013-02-07
01:18,8375.13,1627.01,3340.88,1673.55,1529.22,10481.47,3008225,1241.59,1072.24,13028.00,16305370,89308.07,157297,472.78,21300.0,5204.78,2008.05,4329.45,68363.1,68363.1,10680.22,2081.14,2972.26,1680.10,150616,14954.74,52.77623,0.96735,2.20370,2013-02-07
01:20,8375.63,1627.10,3341.08,1673.65,1529.32,10482.10,3008404,1241.67,1072.30,13028.77,16306341,89313.38,157306,472.81,21301.2,5205.09,2008.17,4329.71,68367.2,68367.2,10680.86,2081.26,2972.44,1680.20,150625,14955.63,52.77421,0.96741,2.20383,2013-02-07
01:22,8378.12,1627.09,3341.56,1673.98,1530.11,10485.21,3009257,1241.70,1072.45,13032.99,16311193,89309.71,157463,472.95,21306.7,5206.64,2008.77,4330.99,68387.5,68387.5,10682.19,2081.88,2973.66,1680.70,150670,14950.33,52.77961,0.96748,2.20449,2013-02-07
01:24,8379.12,1627.28,3341.96,1674.18,1530.29,10486.46,3009615,1241.85,1072.58,13034.54,16313134,89320.34,157482,473.00,21309.3,5207.26,2009.01,4331.51,68395.7,68395.7,10683.46,2082.13,2974.01,1680.90,150687,14952.11,52.77558,0.96748,2.20475,2013-02-07
01:26,8378.12,1626.92,3341.74,1674.14,1530.28,10485.04,3009257,1241.87,1072.45,13032.99,16311193,89317.27,157397,472.95,21306.6,5206.30,2008.44,4330.99,68387.7,68387.7,10682.86,2081.88,2973.49,1680.70,150668,14949.32,52.76414,0.96742,2.20449,2013-02-07
01:28,8377.62,1626.82,3342.04,1674.05,1530.19,10484.25,3009088,1241.46,1072.39,13032.38,16310223,89301.37,157379,472.92,21305.5,5206.33,2008.15,4330.74,68383.4,68383.4,10679.88,2081.93,2970.80,1680.60,150659,14945.07,52.77646,0.96753,2.20436,2013-02-07
